team,condition,gh,ga,count,prob,cdf
Liverpool,home,0,0,2,0.02631578947368421,0.02631578947368421
Liverpool,home,0,1,4,0.05263157894736842,0.07894736842105263
Liverpool,home,0,2,1,0.013157894736842105,0.09210526315789473
Liverpool,home,1,0,7,0.09210526315789473,0.18421052631578946
Liverpool,home,1,1,7,0.09210526315789473,0.2763157894736842
Liverpool,home,1,2,1,0.013157894736842105,0.28947368421052627
Liverpool,home,1,4,1,0.013157894736842105,0.30263157894736836
Liverpool,home,2,0,12,0.15789473684210525,0.4605263157894736
Liverpool,home,2,1,10,0.13157894736842105,0.5921052631578947
Liverpool,home,2,2,3,0.039473684210526314,0.631578947368421
Liverpool,home,3,0,3,0.039473684210526314,0.6710526315789473
Liverpool,home,3,1,8,0.10526315789473684,0.7763157894736842
Liverpool,home,3,2,2,0.02631578947368421,0.8026315789473684
Liverpool,home,3,3,1,0.013157894736842105,0.8157894736842105
Liverpool,home,4,0,6,0.07894736842105263,0.8947368421052632
Liverpool,home,4,1,1,0.013157894736842105,0.9078947368421053
Liverpool,home,4,3,2,0.02631578947368421,0.9342105263157895
Liverpool,home,5,2,1,0.013157894736842105,0.9473684210526316
Liverpool,home,5,3,1,0.013157894736842105,0.9605263157894738
Liverpool,home,6,0,1,0.013157894736842105,0.9736842105263159
Liverpool,home,7,0,1,0.013157894736842105,0.9868421052631581
Liverpool,home,9,0,1,0.013157894736842105,1.0000000000000002
Liverpool,away,0,0,5,0.06578947368421052,0.06578947368421052
Liverpool,away,0,1,7,0.09210526315789473,0.15789473684210525
Liverpool,away,0,2,6,0.07894736842105263,0.23684210526315788
Liverpool,away,0,3,7,0.09210526315789473,0.3289473684210526
Liverpool,away,0,4,1,0.013157894736842105,0.3421052631578947
Liverpool,away,0,5,2,0.02631578947368421,0.36842105263157887
Liverpool,away,0,7,1,0.013157894736842105,0.38157894736842096
Liverpool,away,1,0,4,0.05263157894736842,0.4342105263157894
Liverpool,away,1,1,5,0.06578947368421052,0.4999999999999999
Liverpool,away,1,2,10,0.13157894736842105,0.6315789473684209
Liverpool,away,1,3,6,0.07894736842105263,0.7105263157894736
Liverpool,away,1,4,1,0.013157894736842105,0.7236842105263157
Liverpool,away,1,6,1,0.013157894736842105,0.7368421052631579
Liverpool,away,2,1,2,0.02631578947368421,0.763157894736842
Liverpool,away,2,2,5,0.06578947368421052,0.8289473684210525
Liverpool,away,2,4,1,0.013157894736842105,0.8421052631578947
Liverpool,away,3,0,3,0.039473684210526314,0.881578947368421
Liverpool,away,3,1,2,0.02631578947368421,0.9078947368421052
Liverpool,away,3,2,2,0.02631578947368421,0.9342105263157894
Liverpool,away,3,3,1,0.013157894736842105,0.9473684210526315
Liverpool,away,4,0,1,0.013157894736842105,0.9605263157894737
Liverpool,away,4,1,1,0.013157894736842105,0.9736842105263158
Liverpool,away,4,4,1,0.013157894736842105,0.986842105263158
Liverpool,away,7,2,1,0.013157894736842105,1.0
Bournemouth,home,0,0,4,0.10526315789473684,0.10526315789473684
Bournemouth,home,0,1,3,0.07894736842105263,0.18421052631578946
Bournemouth,home,0,2,4,0.10526315789473684,0.2894736842105263
Bournemouth,home,0,3,3,0.07894736842105263,0.368421052631579
Bournemouth,home,0,4,1,0.02631578947368421,0.39473684210526316
Bournemouth,home,1,0,2,0.05263157894736842,0.4473684210526316
Bournemouth,home,1,1,4,0.10526315789473684,0.5526315789473684
Bournemouth,home,1,2,1,0.02631578947368421,0.5789473684210525
Bournemouth,home,1,3,2,0.05263157894736842,0.631578947368421
Bournemouth,home,1,4,2,0.05263157894736842,0.6842105263157894
Bournemouth,home,2,0,1,0.02631578947368421,0.7105263157894736
Bournemouth,home,2,1,3,0.07894736842105263,0.7894736842105262
Bournemouth,home,2,2,2,0.05263157894736842,0.8421052631578947
Bournemouth,home,2,3,1,0.02631578947368421,0.8684210526315789
Bournemouth,home,3,0,1,0.02631578947368421,0.894736842105263
Bournemouth,home,3,1,2,0.05263157894736842,0.9473684210526314
Bournemouth,home,4,1,2,0.05263157894736842,0.9999999999999998
Bournemouth,away,0,0,1,0.02631578947368421,0.02631578947368421
Bournemouth,away,0,1,4,0.10526315789473684,0.13157894736842105
Bournemouth,away,1,0,6,0.15789473684210525,0.2894736842105263
Bournemouth,away,1,1,1,0.02631578947368421,0.3157894736842105
Bournemouth,away,1,2,1,0.02631578947368421,0.3421052631578947
Bournemouth,away,1,3,2,0.05263157894736842,0.3947368421052631
Bournemouth,away,2,0,5,0.13157894736842105,0.5263157894736842
Bournemouth,away,2,1,4,0.10526315789473684,0.631578947368421
Bournemouth,away,2,2,1,0.02631578947368421,0.6578947368421052
Bournemouth,away,2,3,2,0.05263157894736842,0.7105263157894737
Bournemouth,away,3,0,3,0.07894736842105263,0.7894736842105263
Bournemouth,away,3,1,1,0.02631578947368421,0.8157894736842105
Bournemouth,away,3,2,2,0.05263157894736842,0.868421052631579
Bournemouth,away,4,0,2,0.05263157894736842,0.9210526315789473
Bournemouth,away,4,3,1,0.02631578947368421,0.9473684210526315
Bournemouth,away,5,2,1,0.02631578947368421,0.9736842105263157
Bournemouth,away,9,0,1,0.02631578947368421,0.9999999999999999
Burnley,home,0,0,5,0.08771929824561403,0.08771929824561403
Burnley,home,0,1,5,0.08771929824561403,0.17543859649122806
Burnley,home,0,2,5,0.08771929824561403,0.2631578947368421
Burnley,home,0,3,3,0.05263157894736842,0.3157894736842105
Burnley,home,0,4,2,0.03508771929824561,0.3508771929824561
Burnley,home,1,0,7,0.12280701754385964,0.47368421052631576
Burnley,home,1,1,10,0.17543859649122806,0.6491228070175439
Burnley,home,1,2,6,0.10526315789473684,0.7543859649122807
Burnley,home,1,3,1,0.017543859649122806,0.7719298245614035
Burnley,home,1,4,1,0.017543859649122806,0.7894736842105263
Burnley,home,2,0,2,0.03508771929824561,0.8245614035087719
Burnley,home,2,1,2,0.03508771929824561,0.8596491228070176
Burnley,home,2,4,1,0.017543859649122806,0.8771929824561404
Burnley,home,3,0,3,0.05263157894736842,0.9298245614035088
Burnley,home,3,1,1,0.017543859649122806,0.9473684210526316
Burnley,home,3,2,2,0.03508771929824561,0.9824561403508772
Burnley,home,3,3,1,0.017543859649122806,1.0
Burnley,away,0,0,6,0.10526315789473684,0.10526315789473684
Burnley,away,0,1,5,0.08771929824561403,0.19298245614035087
Burnley,away,0,2,3,0.05263157894736842,0.24561403508771928
Burnley,away,0,3,3,0.05263157894736842,0.2982456140350877
Burnley,away,0,4,1,0.017543859649122806,0.3157894736842105
Burnley,away,1,0,6,0.10526315789473684,0.42105263157894735
Burnley,away,1,1,7,0.12280701754385964,0.5438596491228069
Burnley,away,1,2,3,0.05263157894736842,0.5964912280701753
Burnley,away,2,0,5,0.08771929824561403,0.6842105263157894
Burnley,away,2,1,2,0.03508771929824561,0.719298245614035
Burnley,away,2,2,3,0.05263157894736842,0.7719298245614035
Burnley,away,3,0,2,0.03508771929824561,0.8070175438596491
Burnley,away,3,1,5,0.08771929824561403,0.894736842105263
Burnley,away,3,2,1,0.017543859649122806,0.9122807017543859
Burnley,away,4,0,1,0.017543859649122806,0.9298245614035088
Burnley,away,4,2,1,0.017543859649122806,0.9473684210526316
Burnley,away,5,0,3,0.05263157894736842,1.0
